"";"1 to 2";"1 to 3";"1 to 4";"1 to 5";"1 to 6";"1 to 7";"1 to 8";"2 to 3";"2 to 4";"2 to 5";"2 to 6";"2 to 7";"2 to 8";"3 to 4";"3 to 5";"3 to 6";"3 to 7";"3 to 8";"4 to 5";"4 to 6";"4 to 7";"4 to 8";"5 to 6";"5 to 7";"5 to 8";"6 to 7";"6 to 8";"7 to 8"
"1";2;3;1;1;2;3;2;1;3;3;3;3;1;1;2;1;1;3;1;1;3;2;3;3;1;1;1;3
"2";1;3;2;1;1;2;1;3;2;2;3;3;3;2;3;3;3;3;1;2;3;3;2;3;3;3;2;2
"3";3;2;1;3;2;3;1;1;3;3;3;3;3;3;1;2;1;3;2;1;3;2;3;2;3;2;2;3
"4";2;2;2;2;1;2;3;1;1;1;3;2;3;2;2;2;3;2;3;2;3;1;3;1;2;2;2;1
"5";3;3;1;3;3;1;2;2;1;1;1;3;3;3;2;3;3;1;1;2;3;1;2;1;3;1;2;2
"6";1;1;1;1;1;3;2;3;3;3;1;1;2;2;3;2;2;1;3;2;2;2;1;3;2;1;1;2
"7";3;3;2;1;2;1;1;1;1;1;1;1;1;3;2;2;3;1;1;1;3;3;1;2;3;1;2;1
"8";1;2;3;2;2;2;3;2;2;2;3;2;3;2;1;2;3;3;2;3;3;2;1;1;1;1;1;2
"9";2;3;3;2;3;1;2;3;2;1;1;2;1;2;2;3;3;1;3;3;1;2;3;1;3;2;1;2
"10";1;1;3;1;3;2;3;3;1;3;3;3;3;1;3;3;1;3;3;3;1;3;3;3;3;1;2;3
"11";1;1;2;3;1;1;1;3;1;1;2;2;3;3;3;1;2;1;1;1;1;2;1;1;1;2;1;2
"12";3;3;3;3;1;2;3;2;1;3;3;2;3;1;2;2;3;1;1;2;2;1;1;2;2;2;3;2
"13";2;2;1;1;3;2;1;2;3;1;3;3;2;1;1;3;2;3;1;3;3;1;3;2;1;2;1;3
"14";2;1;2;2;1;2;1;1;3;3;2;1;2;3;2;1;3;2;1;3;3;1;1;2;2;3;2;1
"15";3;3;3;2;1;3;3;1;2;1;2;1;3;3;1;1;2;1;1;2;2;1;2;2;2;1;3;3
"16";1;3;1;1;2;2;2;3;1;2;2;2;3;2;1;1;3;2;2;2;1;2;3;2;3;3;3;1
"17";2;1;3;3;1;1;3;2;3;1;3;1;2;1;1;3;3;2;1;2;1;3;1;3;3;3;1;1
"18";2;1;2;3;2;1;2;2;2;2;1;3;1;2;3;3;3;3;2;1;2;1;3;1;1;1;3;2
"19";1;3;1;2;2;1;2;3;3;2;1;3;2;3;3;3;3;2;3;2;3;1;2;1;1;1;3;1
"20";1;3;3;3;3;2;1;2;2;2;3;3;1;2;1;1;2;2;1;2;3;2;2;1;2;1;1;3
"21";2;3;2;3;2;2;2;3;3;3;1;2;2;3;2;2;1;1;2;1;1;2;2;3;2;2;3;1
"22";1;1;2;2;1;3;2;2;1;3;2;1;2;1;2;1;3;2;1;1;3;1;1;1;2;2;2;1
"23";1;3;3;2;2;2;3;2;1;3;2;1;3;3;1;3;3;3;3;1;1;3;2;1;1;1;3;2
"24";3;2;2;3;1;1;1;2;2;1;2;3;3;3;3;1;3;2;1;2;1;1;3;2;1;1;3;2
"25";3;2;3;1;1;2;3;3;1;3;1;3;2;2;1;1;1;2;3;3;3;1;3;3;2;1;3;3
"26";3;2;3;2;1;1;1;3;1;2;3;2;2;1;1;1;1;1;2;3;2;1;2;1;2;3;1;2
"27";3;3;3;1;1;3;3;2;3;2;1;2;1;2;1;2;2;2;3;1;1;1;1;2;3;3;2;2
"28";3;3;1;1;3;2;1;2;3;2;2;1;2;2;3;2;3;3;3;3;2;3;3;2;1;1;2;3
"29";3;1;2;1;3;1;3;3;2;3;3;2;2;3;2;1;1;3;3;2;1;3;1;2;2;1;1;2
"30";1;3;1;2;1;2;3;3;2;1;2;1;2;1;2;3;1;2;3;2;3;3;3;3;1;2;2;3
"31";1;1;1;1;3;2;3;2;2;1;3;3;2;3;1;1;1;3;1;3;1;2;3;1;1;3;1;3
"32";2;2;1;3;2;2;2;1;1;1;2;1;1;1;2;1;1;2;1;2;2;1;2;2;3;3;3;2
"33";2;1;1;1;1;1;2;2;1;2;3;3;1;2;2;1;1;2;2;2;2;2;1;1;2;3;2;3
"34";2;1;2;3;1;3;3;2;3;3;2;2;3;1;2;1;3;2;3;1;2;2;2;1;2;1;2;1
"35";2;2;2;1;2;2;1;1;3;2;1;1;3;2;2;2;3;2;3;1;3;1;2;1;2;1;2;3
"36";2;3;1;3;1;3;2;1;1;3;1;3;3;3;3;3;3;2;1;3;2;2;2;2;2;2;2;3
"37";2;2;3;2;1;2;3;2;3;3;2;1;3;2;3;3;3;1;1;1;1;1;2;1;3;3;2;2
"38";3;2;2;2;2;1;2;3;2;3;2;3;1;2;1;2;3;1;2;2;1;1;2;1;2;1;1;2
"39";1;1;3;2;3;3;2;3;2;1;3;3;1;2;2;3;3;1;3;1;2;1;1;3;1;2;2;2
"40";1;1;1;3;2;3;1;1;1;3;1;1;1;3;1;2;1;3;1;1;2;1;1;3;2;2;2;2
"41";3;3;2;1;1;3;1;3;2;1;2;2;1;2;2;3;3;2;3;1;1;2;1;3;3;3;3;3
