"alterID";"egoID";"alter.sex";"alter.age"
1;"26";"w";"66 - 100"
2;"26";"m";"26 - 35"
3;"26";"m";"66 - 100"
4;"26";"w";"26 - 35"
5;"26";"m";"26 - 35"
6;"26";"w";"46 - 55"
7;"26";"w";"0 - 17"
8;"26";"w";"26 - 35"
9;"26";"w";"46 - 55"
10;"26";"m";"0 - 17"
11;"26";"m";"66 - 100"
12;"26";"w";"56 - 65"
13;"26";"w";"0 - 17"
14;"26";"m";"56 - 65"
15;"26";"m";"66 - 100"
16;"26";"m";"46 - 55"
17;"26";"w";"26 - 35"
18;"26";"w";"56 - 65"
19;"26";"w";"0 - 17"
20;"26";"m";"36 - 45"
21;"26";"m";"46 - 55"
22;"26";"m";"18 - 25"
23;"26";"w";"36 - 45"
