"";"alterID";"egoID";"alter.sex";"alter.age"
"865";1;"28";"m";"46 - 55"
"866";2;"28";"m";"46 - 55"
"867";3;"28";"m";"36 - 45"
"868";4;"28";"w";"0 - 17"
"869";5;"28";"w";"18 - 25"
"870";6;"28";"m";"36 - 45"
"871";7;"28";"m";"56 - 65"
"872";8;"28";"m";"36 - 45"
"873";9;"28";"w";"66 - 100"
"874";10;"28";"w";"36 - 45"
"875";11;"28";"m";"26 - 35"
"876";12;"28";"w";"18 - 25"
"877";13;"28";"w";"36 - 45"
"878";14;"28";"w";"0 - 17"
"879";15;"28";"w";"46 - 55"
"880";16;"28";"m";"0 - 17"
"881";17;"28";"m";"36 - 45"
"882";18;"28";"m";"46 - 55"
"883";19;"28";"w";"56 - 65"
