"";"egoID";"alterID";"alter.sex";"alter.age"
"257";"9";1;"m";"56 - 65"
"258";"9";2;"m";"26 - 35"
"259";"9";3;"m";"66 - 100"
"260";"9";4;"w";"36 - 45"
"261";"9";5;"m";"0 - 17"
"262";"9";6;"m";"66 - 100"
"263";"9";7;"w";"66 - 100"
"264";"9";8;"w";"18 - 25"
"265";"9";9;"w";"0 - 17"
"266";"9";10;"m";"46 - 55"
"267";"9";11;"w";"66 - 100"
"268";"9";12;"w";"66 - 100"
"269";"9";13;"m";"66 - 100"
"270";"9";14;"w";"26 - 35"
"271";"9";15;"m";"56 - 65"
"272";"9";16;"m";"0 - 17"
"273";"9";17;"m";"46 - 55"
"274";"9";18;"w";"66 - 100"
"275";"9";19;"m";"0 - 17"
"276";"9";20;"w";"36 - 45"
"277";"9";21;"w";"18 - 25"
