"";"egoID";"alter.sex.1";"alter.age.1";"alter.sex.2";"alter.age.2";"alter.sex.3";"alter.age.3";"alter.sex.4";"alter.age.4";"alter.sex.5";"alter.age.5";"alter.sex.6";"alter.age.6";"alter.sex.7";"alter.age.7";"alter.sex.8";"alter.age.8"
"1";"1";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"9";"2";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"17";"3";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"25";"4";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"33";"5";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"41";"6";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"49";"7";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"57";"8";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"65";"9";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"73";"10";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"81";"11";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"89";"12";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"97";"13";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"105";"14";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"113";"15";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"121";"16";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"129";"17";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"137";"18";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"145";"19";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"153";"20";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"161";"21";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"169";"22";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"177";"23";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"185";"24";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"193";"25";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"201";"26";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"209";"27";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"217";"28";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"225";"29";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"233";"30";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"241";"31";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"249";"32";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"257";"33";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"265";"34";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"273";"35";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
