egoID;alter.sex.1;alter.age.1;alter.sex.2;alter.age.2;alter.sex.3;alter.age.3;alter.sex.4;alter.age.4;alter.sex.5;alter.age.5;alter.sex.6;alter.age.6;alter.sex.7;alter.age.7;alter.sex.8;alter.age.8
1;w;18 - 25;w;46 - 55;m;0 - 17;w;66 - 100;m;18 - 25;m;36 - 45;w;36 - 45;m;56 - 65
2;m;46 - 55;w;46 - 55;w;36 - 45;w;56 - 65;w;56 - 65;m;46 - 55;m;36 - 45;w;56 - 65
3;m;56 - 65;m;26 - 35;w;26 - 35;m;66 - 100;w;18 - 25;m;66 - 100;m;18 - 25;w;26 - 35
4;m;46 - 55;w;26 - 35;w;56 - 65;m;46 - 55;m;46 - 55;w;18 - 25;w;36 - 45;w;56 - 65
5;w;0 - 17;m;56 - 65;m;0 - 17;m;18 - 25;m;26 - 35;w;26 - 35;w;26 - 35;w;56 - 65
6;w;46 - 55;m;66 - 100;m;0 - 17;m;0 - 17;m;56 - 65;m;18 - 25;m;56 - 65;m;36 - 45
7;w;18 - 25;m;0 - 17;w;18 - 25;m;18 - 25;m;56 - 65;m;66 - 100;w;46 - 55;m;46 - 55
8;w;0 - 17;w;66 - 100;w;0 - 17;w;66 - 100;m;36 - 45;w;26 - 35;w;56 - 65;m;36 - 45
9;m;26 - 35;w;46 - 55;m;26 - 35;w;26 - 35;m;56 - 65;w;0 - 17;m;66 - 100;m;36 - 45
10;m;18 - 25;w;26 - 35;w;0 - 17;m;56 - 65;w;66 - 100;w;66 - 100;m;56 - 65;m;46 - 55
11;w;36 - 45;w;0 - 17;w;26 - 35;m;18 - 25;m;26 - 35;w;66 - 100;w;36 - 45;w;26 - 35
12;w;36 - 45;w;46 - 55;m;56 - 65;m;56 - 65;m;18 - 25;w;56 - 65;m;36 - 45;m;46 - 55
13;w;18 - 25;m;46 - 55;m;0 - 17;m;66 - 100;m;46 - 55;m;56 - 65;w;36 - 45;m;66 - 100
14;m;18 - 25;m;46 - 55;m;36 - 45;w;26 - 35;w;36 - 45;m;0 - 17;m;56 - 65;m;36 - 45
15;m;56 - 65;m;18 - 25;w;46 - 55;w;66 - 100;w;0 - 17;w;36 - 45;w;26 - 35;w;66 - 100
16;w;0 - 17;m;46 - 55;m;66 - 100;w;18 - 25;m;0 - 17;m;0 - 17;w;36 - 45;m;26 - 35
