"";"egoID";"Source";"Target";"weight"
"1";1;1;2;3
"2";1;1;3;1
"3";1;1;4;3
"4";1;1;5;1
"5";1;1;6;3
"6";1;1;7;1
"7";1;1;8;3
"8";1;1;9;2
"9";1;1;10;2
"10";1;1;11;2
"11";1;1;12;3
"12";1;1;13;1
"13";1;1;14;3
"14";1;1;15;2
"15";1;1;16;3
"16";1;1;17;3
"17";1;1;18;1
"18";1;1;19;3
"19";1;1;20;1
"20";1;2;3;3
"21";1;2;4;3
"22";1;2;5;3
"23";1;2;6;3
"24";1;2;7;2
"25";1;2;8;3
"26";1;2;9;3
"27";1;2;10;3
"28";1;2;11;2
"29";1;2;12;2
"30";1;2;13;2
"31";1;2;14;2
"32";1;2;15;3
"33";1;2;16;2
"34";1;2;17;1
"35";1;2;18;2
"36";1;2;19;1
"37";1;2;20;3
"38";1;3;4;1
"39";1;3;5;2
"40";1;3;6;3
"41";1;3;7;3
"42";1;3;8;2
"43";1;3;9;2
"44";1;3;10;1
"45";1;3;11;3
"46";1;3;12;3
"47";1;3;13;2
"48";1;3;14;1
"49";1;3;15;1
"50";1;3;16;1
"51";1;3;17;2
"52";1;3;18;1
"53";1;3;19;1
"54";1;3;20;1
"55";1;4;5;3
"56";1;4;6;1
"57";1;4;7;3
"58";1;4;8;2
"59";1;4;9;2
"60";1;4;10;3
"61";1;4;11;2
"62";1;4;12;1
"63";1;4;13;1
"64";1;4;14;1
"65";1;4;15;1
"66";1;4;16;3
"67";1;4;17;1
"68";1;4;18;3
"69";1;4;19;1
"70";1;4;20;1
"71";1;5;6;2
"72";1;5;7;3
"73";1;5;8;1
"74";1;5;9;2
"75";1;5;10;2
"76";1;5;11;1
"77";1;5;12;1
"78";1;5;13;3
"79";1;5;14;3
"80";1;5;15;3
"81";1;5;16;1
"82";1;5;17;1
"83";1;5;18;2
"84";1;5;19;1
"85";1;5;20;2
"86";1;6;7;2
"87";1;6;8;1
"88";1;6;9;2
"89";1;6;10;1
"90";1;6;11;2
"91";1;6;12;3
"92";1;6;13;1
"93";1;6;14;3
"94";1;6;15;2
"95";1;6;16;3
"96";1;6;17;2
"97";1;6;18;2
"98";1;6;19;3
"99";1;6;20;2
"100";1;7;8;2
"101";1;7;9;3
"102";1;7;10;2
"103";1;7;11;3
"104";1;7;12;3
"105";1;7;13;1
"106";1;7;14;1
"107";1;7;15;1
"108";1;7;16;1
"109";1;7;17;1
"110";1;7;18;3
"111";1;7;19;2
"112";1;7;20;2
"113";1;8;9;2
"114";1;8;10;3
"115";1;8;11;2
"116";1;8;12;2
"117";1;8;13;3
"118";1;8;14;3
"119";1;8;15;3
"120";1;8;16;1
"121";1;8;17;3
"122";1;8;18;2
"123";1;8;19;2
"124";1;8;20;3
"125";1;9;10;1
"126";1;9;11;3
"127";1;9;12;1
"128";1;9;13;3
"129";1;9;14;2
"130";1;9;15;3
"131";1;9;16;1
"132";1;9;17;3
"133";1;9;18;2
"134";1;9;19;1
"135";1;9;20;3
"136";1;10;11;1
"137";1;10;12;3
"138";1;10;13;3
"139";1;10;14;2
"140";1;10;15;1
"141";1;10;16;2
"142";1;10;17;1
"143";1;10;18;2
"144";1;10;19;1
"145";1;10;20;1
"146";1;11;12;3
"147";1;11;13;2
"148";1;11;14;2
"149";1;11;15;1
"150";1;11;16;3
"151";1;11;17;3
"152";1;11;18;2
"153";1;11;19;3
"154";1;11;20;2
"155";1;12;13;1
"156";1;12;14;3
"157";1;12;15;2
"158";1;12;16;3
"159";1;12;17;2
"160";1;12;18;1
"161";1;12;19;3
"162";1;12;20;3
"163";1;13;14;3
"164";1;13;15;2
"165";1;13;16;3
"166";1;13;17;1
"167";1;13;18;2
"168";1;13;19;2
"169";1;13;20;1
"170";1;14;15;3
"171";1;14;16;2
"172";1;14;17;3
"173";1;14;18;2
"174";1;14;19;1
"175";1;14;20;1
"176";1;15;16;2
"177";1;15;17;2
"178";1;15;18;2
"179";1;15;19;1
"180";1;15;20;3
"181";1;16;17;3
"182";1;16;18;1
"183";1;16;19;2
"184";1;16;20;3
"185";1;17;18;3
"186";1;17;19;3
"187";1;17;20;1
"188";1;18;19;2
"189";1;18;20;1
"190";1;19;20;3
"191";2;1;2;1
"192";2;1;3;1
"193";2;1;4;2
"194";2;1;5;3
"195";2;1;6;1
"196";2;1;7;3
"197";2;1;8;3
"198";2;1;9;1
"199";2;1;10;3
"200";2;1;11;3
"201";2;1;12;2
"202";2;1;13;2
"203";2;1;14;1
"204";2;1;15;2
"205";2;1;16;1
"206";2;1;17;2
"207";2;1;18;1
"208";2;2;3;1
"209";2;2;4;2
"210";2;2;5;1
"211";2;2;6;3
"212";2;2;7;3
"213";2;2;8;2
"214";2;2;9;3
"215";2;2;10;3
"216";2;2;11;1
"217";2;2;12;1
"218";2;2;13;2
"219";2;2;14;2
"220";2;2;15;2
"221";2;2;16;3
"222";2;2;17;3
"223";2;2;18;1
"224";2;3;4;1
"225";2;3;5;1
"226";2;3;6;2
"227";2;3;7;3
"228";2;3;8;2
"229";2;3;9;2
"230";2;3;10;1
"231";2;3;11;1
"232";2;3;12;2
"233";2;3;13;1
"234";2;3;14;1
"235";2;3;15;2
"236";2;3;16;3
"237";2;3;17;3
"238";2;3;18;3
"239";2;4;5;3
"240";2;4;6;1
"241";2;4;7;3
"242";2;4;8;2
"243";2;4;9;1
"244";2;4;10;1
"245";2;4;11;2
"246";2;4;12;3
"247";2;4;13;2
"248";2;4;14;1
"249";2;4;15;2
"250";2;4;16;3
"251";2;4;17;2
"252";2;4;18;1
"253";2;5;6;2
"254";2;5;7;1
"255";2;5;8;1
"256";2;5;9;3
"257";2;5;10;3
"258";2;5;11;1
"259";2;5;12;2
"260";2;5;13;1
"261";2;5;14;3
"262";2;5;15;1
"263";2;5;16;3
"264";2;5;17;3
"265";2;5;18;2
"266";2;6;7;2
"267";2;6;8;3
"268";2;6;9;3
"269";2;6;10;3
"270";2;6;11;2
"271";2;6;12;2
"272";2;6;13;3
"273";2;6;14;2
"274";2;6;15;1
"275";2;6;16;1
"276";2;6;17;3
"277";2;6;18;1
"278";2;7;8;2
"279";2;7;9;3
"280";2;7;10;3
"281";2;7;11;2
"282";2;7;12;1
"283";2;7;13;2
"284";2;7;14;2
"285";2;7;15;2
"286";2;7;16;2
"287";2;7;17;2
"288";2;7;18;1
"289";2;8;9;1
"290";2;8;10;1
"291";2;8;11;3
"292";2;8;12;1
"293";2;8;13;2
"294";2;8;14;1
"295";2;8;15;3
"296";2;8;16;3
"297";2;8;17;3
"298";2;8;18;2
"299";2;9;10;2
"300";2;9;11;2
"301";2;9;12;2
"302";2;9;13;2
"303";2;9;14;2
"304";2;9;15;2
"305";2;9;16;2
"306";2;9;17;3
"307";2;9;18;1
"308";2;10;11;3
"309";2;10;12;2
"310";2;10;13;3
"311";2;10;14;1
"312";2;10;15;2
"313";2;10;16;2
"314";2;10;17;3
"315";2;10;18;3
"316";2;11;12;3
"317";2;11;13;2
"318";2;11;14;3
"319";2;11;15;2
"320";2;11;16;3
"321";2;11;17;3
"322";2;11;18;3
"323";2;12;13;2
"324";2;12;14;1
"325";2;12;15;1
"326";2;12;16;1
"327";2;12;17;3
"328";2;12;18;3
"329";2;13;14;2
"330";2;13;15;3
"331";2;13;16;3
"332";2;13;17;3
"333";2;13;18;1
"334";2;14;15;1
"335";2;14;16;2
"336";2;14;17;3
"337";2;14;18;3
"338";2;15;16;3
"339";2;15;17;1
"340";2;15;18;2
"341";2;16;17;1
"342";2;16;18;2
"343";2;17;18;1
"344";3;1;2;2
"345";3;1;3;1
"346";3;1;4;1
"347";3;1;5;1
"348";3;1;6;1
"349";3;1;7;2
"350";3;1;8;2
"351";3;1;9;3
"352";3;1;10;2
"353";3;1;11;2
"354";3;1;12;2
"355";3;1;13;2
"356";3;1;14;1
"357";3;1;15;2
"358";3;1;16;3
"359";3;1;17;3
"360";3;1;18;2
"361";3;1;19;1
"362";3;1;20;1
"363";3;1;21;2
"364";3;1;22;2
"365";3;1;23;2
"366";3;1;24;1
"367";3;1;25;1
