"Source";"Target";"weight"
1;5;0,666666666666667
3;6;1
6;10;1
7;12;0,666666666666667
4;8;0,666666666666667
7;8;0,333333333333333
8;10;0,666666666666667
9;11;1
5;11;0,666666666666667
4;7;0,666666666666667
8;12;1
1;11;0,333333333333333
2;7;0,333333333333333
8;9;0,666666666666667
3;8;1
2;5;0,666666666666667
2;11;0,666666666666667
1;2;0,666666666666667
7;11;1
4;10;0,666666666666667
1;9;1
2;3;0,666666666666667
3;5;0,333333333333333
6;11;0,666666666666667
9;10;1
6;9;0,333333333333333
3;12;0,666666666666667
5;8;1
4;9;1
3;10;1
5;12;0,666666666666667
2;4;0,666666666666667
1;8;0,666666666666667
2;8;0,666666666666667
7;9;0,333333333333333
