"";"Source";"Target";"weight"
"1";1;2;1
"2";1;3;2
"3";1;4;2
"4";1;5;3
"5";1;6;3
"6";1;7;1
"7";1;8;2
"8";1;9;2
"9";1;10;2
"10";1;11;3
"11";2;3;1
"12";2;4;3
"13";2;5;1
"14";2;6;3
"15";2;7;1
"16";2;8;1
"17";2;9;1
"18";2;10;3
"19";2;11;2
"20";3;4;2
"21";3;5;1
"22";3;6;3
"23";3;7;1
"24";3;8;2
"25";3;9;3
"26";3;10;3
"27";3;11;3
"28";4;5;1
"29";4;6;2
"30";4;7;3
"31";4;8;3
"32";4;9;1
"33";4;10;1
"34";4;11;1
"35";5;6;3
"36";5;7;3
"37";5;8;2
"38";5;9;1
"39";5;10;2
"40";5;11;2
"41";6;7;3
"42";6;8;2
"43";6;9;3
"44";6;10;2
"45";6;11;2
"46";7;8;2
"47";7;9;2
"48";7;10;2
"49";7;11;1
"50";8;9;3
"51";8;10;1
"52";8;11;3
"53";9;10;1
"54";9;11;3
"55";10;11;2
