"egoID";"sex";"age";"age.years";"country";"income"
1;"m";"56 - 65";63;"Australia";29930
2;"m";"26 - 35";33;"Germany";17885
3;"m";"66 - 100";74;"Germany";20805
4;"w";"18 - 25";21;"Poland";29565
5;"m";"0 - 17";9;"Germany";15330
6;"m";"0 - 17";6;"Australia";23360
7;"m";"66 - 100";84;"Australia";19345
8;"w";"66 - 100";100;"Poland";35040
9;"m";"36 - 45";38;"USA";64605
10;"m";"0 - 17";14;"Australia";49275
11;"w";"26 - 35";27;"Germany";37960
12;"m";"56 - 65";57;"Germany";54750
13;"m";"0 - 17";11;"Australia";35770
14;"w";"66 - 100";80;"Australia";35040
15;"w";"26 - 35";28;"Germany";46720
16;"w";"66 - 100";87;"Poland";18980
17;"w";"46 - 55";53;"Poland";16790
18;"w";"36 - 45";39;"USA";10585
19;"w";"66 - 100";98;"Poland";4015
20;"m";"0 - 17";16;"Australia";64240
21;"m";"46 - 55";52;"Poland";62050
22;"m";"66 - 100";82;"Australia";16060
23;"m";"66 - 100";74;"USA";27010
24;"m";"0 - 17";3;"Germany";35040
25;"w";"36 - 45";36;"Australia";14965
26;"w";"66 - 100";84;"Australia";68620
27;"m";"18 - 25";24;"USA";56940
28;"w";"36 - 45";41;"Poland";20440
29;"m";"0 - 17";5;"Poland";30660
30;"w";"56 - 65";62;"Poland";71905
31;"m";"18 - 25";24;"USA";23360
32;"w";"66 - 100";94;"Poland";31755
