"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18"
"1";0;1;2;1;3;2;1;2;3;1;2;1;2;3;1;2;3;3
"2";0;0;3;2;2;1;3;2;1;2;3;2;2;2;1;1;3;2
"3";0;0;0;3;1;1;3;3;1;2;1;1;2;1;3;3;3;2
"4";0;0;0;0;3;3;1;3;2;2;2;2;2;1;2;3;3;3
"5";0;0;0;0;0;1;1;3;1;3;1;3;1;2;3;3;3;1
"6";0;0;0;0;0;0;2;3;2;3;3;1;2;1;3;1;2;3
"7";0;0;0;0;0;0;0;2;1;3;2;2;2;1;1;3;1;1
"8";0;0;0;0;0;0;0;0;1;3;3;1;1;3;2;2;3;3
"9";0;0;0;0;0;0;0;0;0;2;2;3;3;1;2;3;3;3
"10";0;0;0;0;0;0;0;0;0;0;2;3;1;1;2;2;3;2
"11";0;0;0;0;0;0;0;0;0;0;0;3;1;2;3;1;2;2
"12";0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;2
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;3
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
