"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32"
"1";0;2;1;1;1;1;2;2;3;2;2;2;2;1;2;3;3;2;1;1;2;2;2;1;1;1;2;2;2;3;1;2
"2";0;0;2;1;1;2;1;2;3;2;1;3;2;3;2;1;3;2;3;2;2;1;3;1;1;1;1;3;1;3;2;1
"3";0;0;0;3;2;1;3;3;2;3;3;1;1;1;2;3;3;2;3;2;1;2;3;2;1;1;2;1;1;3;3;2
"4";0;0;0;0;3;2;2;3;1;3;2;1;3;1;1;1;2;3;1;2;1;1;2;3;1;3;1;2;2;2;1;1
"5";0;0;0;0;0;1;3;2;1;3;1;2;1;3;3;3;3;1;1;3;1;1;3;2;1;1;1;2;2;3;3;1
"6";0;0;0;0;0;0;3;1;2;2;1;1;2;2;2;2;1;2;1;3;2;1;3;2;1;2;3;3;1;3;1;2
"7";0;0;0;0;0;0;0;1;1;1;3;3;1;3;2;1;3;1;1;3;1;3;2;3;2;2;1;2;1;3;3;2
"8";0;0;0;0;0;0;0;0;3;3;1;1;2;3;3;1;2;1;3;1;1;3;3;1;3;2;1;3;2;3;1;1
"9";0;0;0;0;0;0;0;0;0;3;1;1;3;2;1;2;3;2;2;2;3;3;3;3;2;2;2;1;2;1;1;2
"10";0;0;0;0;0;0;0;0;0;0;1;2;3;1;2;2;3;2;2;1;1;3;2;1;2;1;3;1;3;2;2;3
"11";0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;3;2;1;2;3;1;1;2;1;2;3;2;2;2;3;3;2
"12";0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;2;3;3;1;3;1;2;2;2;1;2;1;3;2;2;1
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;1;1;1;2;2;2;3;2;2;1;2;3;1;3;2
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;3;2;1;3;2;2;1;2;1;2;2;3;3;2
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;3;1;1;1;2;1;3;3;2;2;1;1;1
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;1;2;1;1;3;1;1;1;1;3;2;1
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;2;2;1;1;3;3;3;1;3;3;1
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1;1;2;1;2;3;2;3;3;3;2
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;2;2;3;2;1;2;1;1;3
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;3;3;1;1;1;1;3;1;2
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;2;2;3;2;2;1;3
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;2;1;1;1;1;2
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;3;2;1;1;2;3
"24";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;2;3;1
"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;2;2
"26";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;2;3;2
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3
"29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
