"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";0;1;1;1;2;2;1;3;2;1;3;1;2;3
"2";0;0;2;3;2;1;1;3;3;3;2;2;3;1
"3";0;0;0;1;3;3;3;2;3;2;3;3;2;1
"4";0;0;0;0;1;2;1;1;1;3;3;3;1;3
"5";0;0;0;0;0;2;1;3;2;1;3;3;2;2
"6";0;0;0;0;0;0;1;1;2;2;1;1;3;3
"7";0;0;0;0;0;0;0;2;3;3;3;2;2;2
"8";0;0;0;0;0;0;0;0;2;1;3;1;1;2
"9";0;0;0;0;0;0;0;0;0;3;1;3;1;2
"10";0;0;0;0;0;0;0;0;0;0;1;1;1;2
"11";0;0;0;0;0;0;0;0;0;0;0;1;3;1
"12";0;0;0;0;0;0;0;0;0;0;0;0;3;3
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;2
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0
